spoonful|ложка|một thìa
tablespoon|столовая ложка|thìa canh
teaspoon|чайная ложка|thìa cà phê
napkin|салфетка|khăn ăn
placemat|салфетка под тарелку|tấm lót bàn
tablecloth|скатерть|khăn trải bàn
saucepan|кастрюля|nồi
frying pan|сковорода|chảo
kettle|чайник|ấm đun
teapot|заварочный чайник|ấm trà
mug|кружка|cốc
glass of water|стакан воды|ly nước
pitcher|кувшин|bình
colander|дуршлаг|rổ lọc
cutting board|разделочная доска|thớt
ladle|половник|muôi
spatula|лопатка|xẻng lật
whisk|венчик|dụng cụ đánh
grater|тёрка|bàn nạo
peeler|овощечистка|dao bào
can opener|открывашка|đồ khui
corkscrew|штопор|cái mở nút
tray|поднос|khay
coaster|подставка под стакан|đế lót ly
dishwasher|посудомойка|máy rửa bát
detergent|моющее средство|nước rửa
sponge|губка|miếng bọt biển
broom|метла|chổi
dustpan|совок|xẻng hốt rác
mop|швабра|cây lau nhà
bucket|ведро|xô
vacuum cleaner|пылесос|máy hút bụi
ironing board|гладильная доска|bàn ủi
iron|утюг|bàn là
laundry|стирка|đồ giặt
washing machine|стиральная машина|máy giặt
dryer|сушилка|máy sấy
clothesline|верёвка для белья|dây phơi
clothespin|прищепка|kẹp quần áo
hanger|вешалка|móc áo
wardrobe|гардероб|tủ quần áo
dresser|комод|tủ ngăn kéo
nightstand|тумбочка|tủ đầu giường
mattress|матрас|đệm
sheet|простыня|ga trải giường
duvet|пуховое одеяло|chăn dày
bedspread|покрывало|tấm phủ giường
alarm clock|будильник|đồng hồ báo thức
curtain rod|карниз|thanh treo rèm
blinds|жалюзи|rèm cuốn
doormat|коврик у двери|thảm cửa
doorbell|дверной звонок|chuông cửa
peephole|глазок|lỗ nhìn
hinge|петля|bản lề
handle|ручка|tay cầm
knob|круглая ручка|núm
deadbolt|засов|then cửa
mailbox|почтовый ящик|hòm thư
doorbell button|кнопка звонка|nút chuông
light switch|выключатель|công tắc
socket|розетка|ổ cắm
plug|вилка|phích cắm
extension cord|удлинитель|dây nối
light bulb|лампочка|bóng đèn
flashlight|фонарик|đèn pin
candle|свеча|nến
match|спичка|que diêm
lighter|зажигалка|bật lửa
battery|батарейка|pin
charger|зарядка|bộ sạc
remote control|пульт|điều khiển từ xa
speaker|колонка|loa
headphones|наушники|tai nghe
microphone|микрофон|micro
camera|камера|máy ảnh
lens|объектив|ống kính
screen|экран|màn hình
keyboard|клавиатура|bàn phím
mouse|мышь|chuột
printer|принтер|máy in
scanner|сканер|máy quét
router|роутер|bộ định tuyến
cable|кабель|dây cáp
adapter|адаптер|bộ chuyển
password|пароль|mật khẩu
username|имя пользователя|tên đăng nhập
account|учётная запись|tài khoản
website|сайт|trang web
browser|браузер|trình duyệt
link|ссылка|liên kết
file|файл|tệp
folder|папка|thư mục
attachment|вложение|tệp đính kèm
inbox|входящие|hộp thư đến
spam|спам|thư rác
notification|уведомление|thông báo
app icon|значок приложения|biểu tượng ứng dụng
update|обновление|bản cập nhật
