pick up|поднять / заехать за|nhặt lên / đón
pick out|выбрать|chọn ra
put on|надеть|mặc vào
put off|отложить|hoãn lại
put out|потушить|dập tắt
put away|убрать|cất đi
put up with|терпеть|chịu đựng
take off|снять / взлететь|cởi ra / cất cánh
take on|браться за|đảm nhận
take up|заняться|bắt đầu theo đuổi
take after|быть похожим на|giống
take over|взять на себя|tiếp quản
turn on|включить|bật
turn off|выключить|tắt
turn up|появиться / сделать громче|xuất hiện / vặn to
turn down|отказать / сделать тише|từ chối / vặn nhỏ
turn into|превратиться|biến thành
look for|искать|tìm
look after|присматривать|trông nom
look up|посмотреть в словаре|tra cứu
look forward to|ждать с нетерпением|mong đợi
look out|осторожно|coi chừng
give up|сдаться|bỏ cuộc
give in|уступить|nhượng bộ
give back|вернуть|trả lại
give away|раздать / выдать|cho đi / để lộ
get up|вставать|thức dậy
get on|садиться (в транспорт)|lên xe
get off|выходить (из транспорта)|xuống xe
get in|войти / сесть в|vào
get out|выбираться|ra ngoài
get along|ладить|hòa thuận
get over|оправиться|vượt qua
get rid of|избавиться|loại bỏ
go on|продолжать|tiếp tục
go out|выходить / встречаться|đi ra ngoài
go back|возвращаться|quay lại
go away|уходить|đi khỏi
go through|пройти через|trải qua
come back|вернуться|quay lại
come in|входить|đi vào
come on|давай|nào
come across|наткнуться|tình cờ gặp
come up with|придумать|nghĩ ra
run out of|кончиться|hết
run into|случайно встретить|tình cờ gặp
run away|убежать|bỏ chạy
break down|сломаться|hỏng
break up|расстаться|chia tay
break in|вломиться|đột nhập
break out|вспыхнуть|bùng nổ
bring up|воспитать / поднять тему|nuôi dạy / nêu ra
bring back|принести обратно|mang về
call off|отменить|hủy bỏ
call back|перезвонить|gọi lại
carry on|продолжать|tiếp tục
carry out|выполнить|thực hiện
catch up|догнать|bắt kịp
check in|зарегистрироваться|làm thủ tục
check out|выписаться / проверить|trả phòng / xem
cut off|отрезать / прервать|cắt đứt
cut down|сократить|cắt giảm
drop off|подбросить / задремать|thả xuống / thiếp đi
drop out|бросить (учёбу)|bỏ học
end up|в итоге оказаться|cuối cùng thì
figure out|понять / разобраться|tìm ra
fill in|заполнить|điền vào
fill out|заполнить бланк|điền mẫu
find out|выяснить|tìm ra
grow up|вырасти|lớn lên
hand in|сдать|nộp
hand out|раздать|phát
hang up|повесить трубку|cúp máy
hold on|подождать|khoan đã
keep on|продолжать|cứ tiếp tục
keep up|не отставать|theo kịp
let down|подвести|làm thất vọng
log in|войти в систему|đăng nhập
log out|выйти из системы|đăng xuất
look into|расследовать|xem xét
make up|выдумать / помириться|bịa / làm lành
make up for|компенсировать|bù đắp
pass away|скончаться|qua đời
pass out|потерять сознание|ngất
pay back|вернуть долг|trả nợ
point out|указать|chỉ ra
pull over|съехать на обочину|tấp vào lề
put down|положить / записать|đặt xuống / ghi lại
set off|отправиться|khởi hành
set up|организовать|thiết lập
show up|явиться|có mặt
shut up|замолчи|im đi
sit down|сесть|ngồi xuống
stand up|встать|đứng lên
stay up|не ложиться спать|thức khuya
switch on|включить|bật lên
switch off|выключить|tắt đi
take part|участвовать|tham gia
throw away|выбросить|vứt đi
try on|примерить|mặc thử
turn around|обернуться|quay lại
wake up|проснуться|thức dậy
watch out|берегись|coi chừng
work out|получиться / тренироваться|ổn thỏa / tập luyện
write down|записать|viết ra
calm down|успокоиться|bình tĩnh lại
cheer up|взбодриться|vui lên
clean up|убрать|dọn dẹp
close down|закрыться|đóng cửa
come along|идти вместе|đi cùng
count on|рассчитывать на|trông cậy
deal with|иметь дело с|đối phó
dress up|нарядиться|ăn mặc đẹp
fall apart|развалиться|tan rã
fall behind|отстать|tụt lại
fall over|упасть|ngã
get back|вернуться|trở về
get together|собраться|họp mặt
give out|раздать / кончиться|phát ra / cạn
go ahead|вперёд / давай|cứ làm đi
go over|повторить / просмотреть|xem lại
hang on|погоди|khoan
hurry up|поторопись|nhanh lên
join in|присоединиться|tham gia vào
keep off|не подходить|tránh xa
knock down|сбить|hạ gục
lay off|уволить|sa thải
leave out|опустить|bỏ sót
live on|жить на (деньги)|sống bằng
look down on|смотреть свысока|coi thường
look up to|уважать|ngưỡng mộ
mix up|перепутать|nhầm lẫn
move in|въехать|chuyển đến
move out|съехать|chuyển đi
own up|признаться|thú nhận
pay off|окупиться|đáng công
pick on|придираться|bắt nạt
put through|соединить по телефону|nối máy
run over|переехать|cán qua
see off|проводить|tiễn
set out|отправиться|lên đường
settle down|остепениться|ổn định
slow down|замедлиться|chậm lại
sort out|разобрать|giải quyết
speak up|говорить громче|nói to lên
split up|разделиться|chia tay
stand for|означать|viết tắt của
stick to|придерживаться|giữ đúng
take apart|разобрать|tháo ra
take back|забрать слова|rút lại lời
tell off|отругать|mắng
think over|обдумать|suy nghĩ kỹ
throw up|стошнить|nôn
turn back|повернуть назад|quay trở lại
use up|израсходовать|dùng hết
wear out|износить|mòn
wipe out|уничтожить|xóa sổ
wrap up|завернуть / закончить|gói lại / kết thúc
back up|поддержать / сделать копию|ủng hộ / sao lưu
blow up|взорвать|nổ tung
break off|прервать|ngừng lại
bring about|вызвать|gây ra
bring along|взять с собой|mang theo
call for|требовать|đòi hỏi
carry off|успешно провернуть|thực hiện thành công
come down|снизиться|giảm xuống
come out|выйти / раскрыться|ra mắt / lộ ra
come round|зайти в гости|ghé qua
cut out|вырезать / бросить|cắt ra / bỏ
do without|обойтись без|không cần đến
drop by|заскочить|ghé qua
eat out|есть не дома|ăn ngoài
fall out|поссориться|cãi nhau
get away|сбежать|trốn thoát
get by|сводить концы с концами|xoay xở
get through|дозвониться / пережить|gọi được / vượt qua
give off|издавать|tỏa ra
go after|преследовать|theo đuổi
go along with|согласиться|đồng ý theo
go down|снижаться|đi xuống
hand over|передать|bàn giao
hold back|сдерживать|kìm lại
hold up|задержать|cản trở
keep away|держаться подальше|tránh xa
let in|впустить|cho vào
let out|выпустить|thả ra
live up to|оправдать|đáp ứng
look back|оглянуться|nhìn lại
make out|разобрать|nhận ra
pass on|передать дальше|truyền lại
pay for|заплатить за|trả tiền cho
pull out|вытащить / выйти|rút ra
put forward|выдвинуть|đề xuất
rule out|исключить|loại trừ
run down|сбить / истощить|hạ gục / kiệt sức
see through|разгадать|nhìn thấu
send off|отправить|gửi đi
set aside|отложить|để dành
show off|рисоваться|khoe khoang
sign up|записаться|đăng ký
stand out|выделяться|nổi bật
take down|записать / снять|ghi lại / gỡ xuống
take in|понять / обмануть|hiểu / lừa
talk over|обсудить|bàn bạc
throw out|выбросить|vứt ra
turn out|оказаться|hóa ra
walk out|уйти в знак протеста|bỏ đi
watch over|присматривать|trông chừng
wear off|проходить|mất dần
wind up|закончить|kết thúc
work on|работать над|làm việc với
account for|объяснять|giải thích cho
act on|действовать по|hành động theo
add up|сходиться|cộng lại
agree with|соглашаться с|đồng ý với
answer back|огрызаться|cãi lại
apply for|подавать заявление|nộp đơn
ask after|справляться о здоровье|hỏi thăm
ask for|просить|xin
back out|отступить|rút lui
bear with|потерпеть|chịu đựng giúp
believe in|верить в|tin vào
belong to|принадлежать|thuộc về
blow out|задуть|thổi tắt
boil down to|сводиться к|quy về
book in|забронировать|đặt chỗ
bounce back|оправиться|hồi phục
branch out|расшириться|mở rộng
break away|оторваться|tách ra
bring off|осуществить|thực hiện được
bring round|убедить|thuyết phục
build up|нарастить|xây dựng dần
burn down|сгореть дотла|cháy rụi
burn out|выгореть|kiệt sức
burst out|разразиться|bật ra
buy out|выкупить|mua lại
call in|вызвать|gọi đến
call up|призвать / позвонить|gọi điện
care for|заботиться / любить|chăm sóc
carry through|довести до конца|làm đến cùng
cash in|обналичить|đổi ra tiền
catch on|войти в моду / понять|bắt kịp / hiểu ra
check up on|проверить|kiểm tra
chip in|скинуться|góp tiền
clean out|вычистить|dọn sạch
clear up|проясниться|quang đãng
close in|приближаться|áp lại
come about|случиться|xảy ra
come by|зайти / достать|ghé / kiếm được
come forward|выступить|đứng ra
come off|отвалиться / удаться|rơi ra / thành công
come to|очнуться|tỉnh lại
come up|возникнуть|nảy ra
consist of|состоять из|bao gồm
cope with|справляться|đối phó được
cover up|скрывать|che đậy
cross out|вычеркнуть|gạch bỏ
cry out|вскрикнуть|kêu lên
cut back|урезать|cắt giảm
cut in|вмешаться|ngắt lời
dawn on|осенить|chợt hiểu
depend on|зависеть|phụ thuộc
die down|утихнуть|dịu đi
die out|вымирать|tuyệt chủng
dig up|откопать|đào lên
do up|застегнуть / отремонтировать|cài / sửa sang
draw up|составить|soạn thảo
dream up|выдумать|nghĩ ra
drink up|допить|uống hết
drive off|уехать|lái đi
drop in|заглянуть|ghé vào
ease off|ослабеть|dịu bớt
eat up|доесть|ăn hết
egg on|подстрекать|xúi giục
embark on|приступить к|bắt tay vào
enter into|вступать в|bước vào
even out|выровняться|trở nên đều
face up to|признать|đối mặt
fall for|влюбляться / поветься|phải lòng / mắc lừa
fall through|провалиться|thất bại
feel up to|быть в силах|cảm thấy đủ sức
fight back|дать отпор|phản kháng
fill up|заполнить доверху|đổ đầy
find out about|узнать о|tìm hiểu về
finish off|добить / доесть|kết liễu / ăn nốt
fire off|выпалить|bắn ra
fit in|вписаться|hòa nhập
fix up|устроить|sắp xếp
flick through|пролистать|lật qua
follow up|продолжить|theo dõi tiếp
fool around|дурачиться|đùa nghịch
get across|донести мысль|truyền đạt
get ahead|преуспеть|vượt lên
get at|намекать|ám chỉ
get away with|сойти с рук|thoát tội
get down to|приняться за|bắt tay vào
get into|увлечься|bắt đầu mê
get on with|продолжать / ладить|tiếp tục / hòa hợp
get out of|избежать|tránh khỏi
get round|убедить|thuyết phục được
give away to|уступить место|nhường chỗ
glance at|взглянуть|liếc nhìn
go about|приниматься|bắt đầu làm
go against|идти против|đi ngược
go by|проходить мимо|trôi qua
go for|выбрать / напасть|chọn / tấn công
go in for|увлекаться|theo đuổi
go off|сработать / испортиться|nổ / hỏng
go on with|продолжать|tiếp tục với
go through with|довести до конца|làm cho xong
go with|подходить к|hợp với
go without|обходиться без|không có
grow out of|вырасти из|lớn hơn
hand down|передать по наследству|truyền lại
hang about|болтаться|lảng vảng
hang out|тусоваться|đi chơi
have on|быть одетым|đang mặc
head for|направиться|hướng đến
hear from|получить весточку|nhận tin
hear of|слышать о|nghe nói về
hit back|ответить ударом|đánh trả
hit on|натолкнуться на идею|nghĩ ra
hold on to|держаться за|giữ lấy
hold out|продержаться|cầm cự
hunt for|разыскивать|săn tìm
iron out|утрясти|giải quyết nốt
join up|вступить|gia nhập
jump at|ухватиться|nhảy bổ vào
keep back|утаить|giấu lại
keep down|не давать расти|kiềm chế
keep from|удержаться|kiềm lại
keep in|оставить дома|giữ ở nhà
keep out|не впускать|không cho vào
keep to|придерживаться|giữ theo
keep up with|успевать за|theo kịp
kick off|начать|bắt đầu
knock out|нокаутировать|hạ gục
knock over|опрокинуть|làm đổ
lash out|наброситься|la mắng
laugh at|смеяться над|cười nhạo
lay down|установить правило|đặt ra
lay out|разложить|bày ra
lead to|привести к|dẫn đến
lean on|опереться|dựa vào
leave behind|оставить|bỏ lại
let off|отпустить|tha
let on|проговориться|để lộ
lie down|лечь|nằm xuống
lift up|поднять|nâng lên
light up|зажечься|sáng lên
line up|выстроиться|xếp hàng
listen in|подслушивать|nghe trộm
live down|искупить|chuộc lỗi
live through|пережить|sống sót qua
lock up|запереть|khóa lại
